desc,ja3_hash,ja3_str
Android Webkit Thing,25b72c88f837567856118febcca761e0,"769,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-7-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-255,0-11-10-13-15-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
Apple Push Notification System,d4693422c5ce1565377aca25940ad80c,"771,255-49196-49195-49188-49187-49162-49161-49160-49200-49199-49192-49191-49172-49171-49170-157-156-61-60-53-47-10-49159-49169-5-4,0-10-11-13-13172-16-5-18,23-24-25,0"
Apple Spotlight Search (OSX),3e404f1e1b5a79e614d7543a79f3a1da,"771,255-49196-49195-49188-49187-49162-49161-49160-49200-49199-49192-49191-49172-49171-49170-49198-49197-49190-49189-49157-49156-49155-49202-49201-49194-49193-49167-49166-49165-159-158-107-103-57-51-22-157-156-61-60-53-47-10-49159-49169-49154-49164-5-4,35-0-10-11-13-21,23-24-25,0"
Apple Spotlight,69b2859aec70e8934229873fe53902fd,"769,255-49196-49195-49188-49187-49162-49161-49160-49200-49199-49192-49191-49172-49171-49170-157-156-61-60-53-47-10,35-0-10-11-13,23-24-25,0"
Apple Spotlight,6b9b64bbe95ea112d02c8812fc2e7ef0,"769,255-49196-49195-49188-49187-49162-49161-49160-49200-49199-49192-49191-49172-49171-49170-157-156-61-60-53-47-10,35-0-10-11-13-21,23-24-25,0"
Apple Spotlight,e5e4c0eeb02fdcf30af8235b4de07780,"769,255-49196-49195-49188-49187-49162-49161-49160-49200-49199-49192-49191-49172-49171-49170-157-156-61-60-53-47-10,35-0-10-11-13-13172-16,23-24-25,0"
Apple SpotlightNetHelper (OSX),97827640b0c15c83379b7d71a3c2c5b4,"771,255-49196-49195-49188-49187-49162-49161-49160-49200-49199-49192-49191-49172-49171-49170-49198-49197-49190-49189-49157-49156-49155-49202-49201-49194-49193-49167-49166-49165-159-158-107-103-57-51-22-157-156-61-60-53-47-10-49159-49169-49154-49164-5-4,35-0-10-11-13-13172-16-21,23-24-25,0"
Apple usbmuxd iOS socket multiplexer,47e42b00af27b87721e526ff85fd2310,"769,57-56-53-22-19-10-51-50-47-154-153-150-5-4-21-18-9-20-17-8-6-3-255,35,,"
AppleWebKit/533.1 (KHTML like Gecko) Version/4.0 Mobile Safari/533.1,b677934e592ece9e09805bf36cd68d8a,"769,4-5-47-51-50-10-22-19-9-21-18-3-8-20-17-255,,,"
AppleWebKit/533.1 (KHTML like Gecko) Version/4.0 Mobile Safari/533.1,1a6ef47ab8325fbb42c447048cea9167,"769,57-56-53-22-19-10-51-50-47-5-4-21-18-9-20-17-8-6-3-255,,,"
AppleWebKit/534.30 (KHTML like Gecko) Version/4.0 Safari & Safari Mobile/534.30,ef323f542a99ab12d6b5348bf039b7b4,"769,49172-49162-49186-49185-57-56-49167-49157-53-49170-49160-49180-49179-22-19-49165-49155-10-49171-49161-49183-49182-51-50-49166-49156-47-49169-49159-49164-49154-5-4-255,0-11-10-35-13172,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
AppleWebKit/534.30,e1e03b911a28815836d79c5cdd900a20,"769,49172-49162-57-56-49167-49157-53-49170-49160-22-19-49165-49155-10-49171-49161-51-50-49166-49156-47-49169-49159-49164-49154-5-4-255,0-11-10-35-13172,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25,0-1-2"
AppleWebKit/534.30,ef323f542a99ab12d6b5348bf039b7b4,"769,49172-49162-49186-49185-57-56-49167-49157-53-49170-49160-49180-49179-22-19-49165-49155-10-49171-49161-49183-49182-51-50-49166-49156-47-49169-49159-49164-49154-5-4-255,0-11-10-35-13172,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
AppleWebKit/534.46 Mobile/9A334,04e1f90d8719caabafb76d4a7b13c984,"769,255-49188-49187-49162-49161-49159-49160-49192-49191-49172-49171-49169-49170-49190-49189-49194-49193-49156-49157-49154-49155-49166-49167-49164-49165-61-60-47-5-4-53-10-103-107-51-57-22,0-10-11,23-24-25,0"
AppleWebKit/534.46,dc08cf4510f70bf16d4106ee22f89197,"771,255-49188-49187-49162-49161-49159-49160-49192-49191-49172-49171-49169-49170-49190-49189-49194-49193-49156-49157-49154-49155-49166-49167-49164-49165-61-60-47-5-4-53-10-103-107-51-57-22,0-10-11-13,23-24-25,0"
AppleWebKit/535 & Ubuntu Product Search,4049550d5f57eae67d958440bdc133e4,"768,51-103-69-57-107-136-22-50-64-68-56-106-135-19-102-47-60-65-53-61-132-10-5-4,0-65281-13,,"
AppleWebKit/600.7.12 or 600.1.4,ef75a13be2ed7a82f16eefe6e84bc375,"769,255-49188-49187-49162-49161-49160-49192-49191-49172-49171-49170-49190-49189-49157-49156-49155-49194-49193-49167-49166-49165-107-103-57-51-22-61-60-53-47-10-49159-49169-49154-49164-5-4,0-10-11-13,23-24-25,0"
AppleWebKit/600.7.12,eaa8a172289b09a6789a415d1faac4c9,"769,255-49188-49187-49162-49161-49160-49192-49191-49172-49171-49170-49190-49189-49157-49156-49155-49194-49193-49167-49166-49165-107-103-57-51-22-61-60-53-47-10-49159-49169-49154-49164-5-4,0-10-11-13-13172,23-24-25,0"
Atlassian SourceTree (Tested v1.6.21.0),1c8a17e58c20b49e3786fc61e0533e50,"771,49192-49191-49172-49171-159-158-157-156-49196-49195-49188-49187-49162-49161-61-60-53-47-106-64-56-50-10-19-5-4,0-5-10-11-13-65281,23-24-25,0"
Atlassian SourceTree (git library?) (Tested v1.6.21.0),42215ee83bbf3a857a72ef42213cfbd6,"769,57-56-53-22-19-10-51-50-47-7-5-4-21-18-9-20-17-8-6-3-255,0,,"
Aviator (Mystery 3rd) (37.0.2062.99) (OS X),58360f4f663a0f5657f415ac2f47fe1b,"769,49195-49199-158-52244-52243-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4,0-65281-10-11-35-13172-16-5-18-13,23-24-25,0"
Aviator Updates,5149f53b5554a31116f9d86237552ee3,"769,255-49188-49187-49162-49161-49160-49192-49191-49172-49171-49170-61-60-53-47-10-49159-49169-5-4,0-10-11-13172-16-5-18,23-24-25,0"
BlackBerry Browser (Tested BB10),add211c763889c665ae4ab675165cbc4,"769,49196-49200-49195-49199-49188-49162-49192-49172-49187-49161-49191-49171-49160-49170-159-163-158-162-107-57-106-56-103-51-64-50-49198-49202-49197-49201-49190-49157-49194-49167-49189-49156-49193-49166-49155-49165-157-156-61-53-60-47-49169-49159-49164-49154-5-4-10-255,0-11-10-35-13-5-21,25-24-9-23-19-1,0-1-2"
BlackBerry Mail Client,a921515f014005af03fc1e2c4c9e66ce,"769,49172-49162-57-56-136-135-49167-49157-53-132-49171-49161-51-50-154-153-69-68-49166-49156-47-150-65-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-20-17-8-6-3-255,0-11-10-35-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
Blackberry Messenger (Android) 2,4692263d4130929ae222ef50816527ca,"769,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-7-49170-49160-22-19-49165-49155-10-255,0-11-10-13-15-13172-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
Blackberry,b5d42ca0e68a39d5c0a294134a21f020,"769,49172-49162-57-56-136-135-49167-49157-53-132-49171-49161-51-50-154-153-69-68-49166-49156-47-150-65-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-20-17-8-6-3-255,0-11-10,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
Blackbery Messenger (Android),32b0ae286d1612c82cad93b4880ee512,"769,53-47-255,0-11-10-35-15,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
BrowserShots Script,01aead19a1b1780978f732e056b183a6,"769,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49170-49160-22-19-49165-49155-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-154-153-69-68-49201-49197-49193-49189-49166-49156-156-60-47-150-65-49169-49159-49164-49154-5-4-255,0-11-10-13-15,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
Browsershots,a4dc1c39a68bffec1cc7767472ac85a8,"769,57-56-53-22-19-10-51-50-47-5-4-21-18-9-20-17-8-6-3-255,35,,"
BurpSuite Free (1.6.01),c3ca411515180e79c765dc2c3c8cea88,"769,49162-49172-53-49157-49167-57-56-49161-49171-47-49156-49166-51-50-49160-49170-10-49155-49165-22-19-255,10-11-0,23-24-25,0"
BurpSuite Free (1.6.01),93fbcdadc1bf98ff0e3c03e7f921edd1,"769,49162-49172-53-49157-49167-57-56-49161-49171-47-49156-49166-51-50-49160-49170-10-49155-49165-22-19-255,10-11,23-24-25,0"
BurpSuite Free (tested: 1.6.32 Kali),34f8cac266d07bfc6bd3966e99b54d00,"768,49162-49172-53-49157-49167-57-56-49161-49171-47-49156-49166-51-50-49160-49170-10-49155-49165-22-19-255,10-11-0,23-24-25,0"
BurpSuite Free (tested: 1.6.32 Kali),15617351d807aa3145547d0ad0c976cc,"770,49162-49172-53-49157-49167-57-56-49161-49171-47-49156-49166-51-50-49160-49170-10-49155-49165-22-19-255,10-11-0,23-24-25,0"
Candy Crush (testing iOS 8.3),17a40616b856ec472714cd144471e0e0,"769,49200-49196-49192-49188-49172-49162-163-159-107-106-57-56-136-135-49202-49198-49194-49190-49167-49157-157-61-53-132-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-69-68-49201-49197-49193-49189-49166-49156-156-60-47-65-49169-49159-49164-49154-5-4-49170-49160-22-19-49165-49155-10-21-18-9-255,0-11-10-13-15-21,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2"
Choqok 1.5 (KDE 4.14.18 Qt 4.8.6 on OpenSUSE 42.1),64bb259b446fe13f66bcd62d1f0d33df,"769,49172-49162-57-56-136-135-49167-49157-53-132-49171-49161-51-50-154-153-69-68-49166-49156-47-150-65-255,0-11-10-35-15,25-24-22-23-20-21-18-19-15-16-17,0-1-2"
Chrome (Possible 41.x),d54a0979516e607a1166e6efd157301c,"769,49195-49199-158-52244-52243-52245-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255,0-23-35-13-5-13172-18-16-11-10-21,23-24-25,0"
Chrome (Tested: 47.0.2526.XX & 48.XX (64-bit)) #1,ac67a2d0e3bd59459c32c996b5985979,"769,49195-49199-158-52244-52243-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-16-30032-11-10,23-24,0"
Chrome (Tested: 47.0.2526.XX & 48.XX (64-bit)) #2,34dfce2bb848da7c5dafa4d475f0ba41,"769,49195-49199-158-52244-52243-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-16-30032-11-10-21,23-24,0"
Chrome (Tested: 47.0.2526.XX & 48.XX (64-bit)) #3,937edefedb6fe13f26d1a425ef1c15a5,"769,49195-49199-158-52244-52243-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-16-11-10,23-24,0"
Chrome (Tested: 47.0.2526.XX & 48.XX (64-bit)) #4,a342d14afad3a448029ec808295ccce9,"769,49195-49199-158-52244-52243-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-30032-11-10,23-24,0"
Chrome (Tested: 47.0.2526.XX & 48.XX (64-bit)) #5,71e74faaed87acd177bd3b47a543f476,"769,49195-49199-158-52244-52243-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-16-11-10-21,23-24,0"
Chrome (iOS),bec8267042d5885aa3acc07b4409cafc,"769,52244-52243-49195-49199-158-49162-49161-49171-49172-51-57-156-47-53-10,0-65281-10-11-35-13172-16-30032-5-18-13,23-24-25,0"
Chrome (tested: Version 46.0.2490.86 (64-bit) - OS X),1d64ab25ad6f7258581d43077147b9b1,"769,49195-49199-158-52244-52243-52245-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-16-11-10-21,23-24,0"
Chrome (tested: Version 46.0.2490.86 (64-bit) - OS X),230018e44608686b64907360b6def678,"769,49195-49199-158-52244-52243-52245-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-16-11-10,23-24,0"
Chrome (tested: Version 46.0.2490.86 (64-bit) - OS X),dea05e8c68dfeb28003f21d22efc0aba,"769,49195-49199-158-52244-52243-52245-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-16-30032-11-10,23-24,0"
Chrome 10,62351d5ea3cd4f21f697965b10a9bbbe,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-4-5-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172,23-24-25,0"
Chrome 10.0.648.82 (Chromium Portable 9.0),62351d5ea3cd4f21f697965b10a9bbbe,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-4-5-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172,23-24-25,0"
Chrome 11 - 18,a9da823fe77cd3df081644249edbf395,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-4-5-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-5,23-24-25,0"
Chrome 11.0.696.16 - 18.0.1025.33  Chrome 11.0.696.16 (Chromium Portable 9.2),a9da823fe77cd3df081644249edbf395,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-4-5-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-5,23-24-25,0"
Chrome 19 - 20,df4a50323dfcaf1789f72e4946a7be44,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-5-4-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-5,23-24-25,0"
Chrome 19.0.1084.15 - 20.0.1132.57,df4a50323dfcaf1789f72e4946a7be44,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-5-4-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-5,23-24-25,0"
Chrome 21.0.1180.89,df4a50323dfcaf1789f72e4946a7be44,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-5-4-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-5,23-24-25,0"
Chrome 22.0.1201.0,3c8cb61208e191af38b1fbef4eacd502,"770,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-5-4-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-5,23-24-25,0"
Chrome 22.0.1229.96 - 23.0.1271.64 Safari/537.11,df4a50323dfcaf1789f72e4946a7be44,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-5-4-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-5,23-24-25,0"
Chrome 24.0.1312.57 - 28.0.1500.72 Safari/537.36,1ef061c02d85b7e2654e11a9959096f4,"769,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-5-4-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-30031-5,23-24-25,0"
Chrome 26.0.1410.43-27.0.1453.110 Safari/537.31,89d37026246d4888e78e69af4f8d1147,"770,49162-49172-136-135-57-56-49167-49157-132-53-49159-49161-49169-49171-69-68-102-51-50-49164-49166-49154-49156-150-65-5-4-47-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-30031-5,23-24-25,0"
Chrome 29.0.1547.0,206ee819879457f7536d2614695a5029,"769,49162-49172-136-135-57-107-56-49167-49157-132-53-61-49159-49161-49187-49169-49171-49191-69-68-102-51-103-50-49164-49166-49154-49156-150-65-5-4-47-60-49160-49170-22-19-49165-49155-65279-10,0-65281-10-11-35-13172-30031-5-13,23-24-25,0"
Chrome 29.0.1547.62,bbc3992faa92affc0d835717ea557e99,"769,49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10,0-65281-10-11-35-13172-30031-5-13,23-24-25,0"
Chrome 29.0.1547.62,76d36fc79db002baa1b5e741fcd863bb,"771,49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10,0-65281-10-11-35-13172-30031-5-13,23-24-25,0"
Chrome 30.0.0.0,dc3eaee99a9221345698f8a8b2f4fc3f,"769,49200-49196-49172-49162-163-159-107-106-57-56-157-61-53-49170-49160-22-19-10-49199-49195-49191-49187-49171-49161-162-158-103-64-51-50-156-60-47-49169-49159-5-4-255,0-11-10-35-13-13172,25-24-23,0"
Chrome 30.0.1599.101,53c7ed581cbaf36951559878fcec4559,"769,49162-49172-57-107-53-61-49159-49161-49187-49169-49171-49191-51-103-50-5-4-47-60-10,0-65281-10-11-35-13172-16-30031-5-13,23-24-25,0"
Chrome 31.0.1650.57 & 32.0.1700.76 Safari/537.36,fb8a6d2441ee9eaee8b560d48a8f59df,"769,49195-49199-158-156-49162-49172-57-53-49159-49161-49169-49171-51-50-5-4-47-10,0-65281-10-11-35-13172-16-30031-5-13,23-24-25,0"
Chrome 31.0.1650.63,f7c4dc1d9595c27369a183a5df9f7b52,"769,49162-49172-57-53-49159-49161-49169-49171-51-50-5-4-47-10,0-65281-10-11-35-13172-16-30031-5,23-24-25,0"
Chrome 33.0.1750.117,16d7ebc398d772ef9969d2ed2a15f4c0,"769,49195-49199-158-52244-52243-156-49162-49172-57-53-49159-49161-49169-49171-51-50-5-4-47-10,0-65281-10-11-35-13172-16-5-13-18-35655,23-24-25,0"
Chrome 33.0.1750.117,f3136cf565acf70dd2f98ca652f43780,"769,49195-49199-158-52244-52243-156-49162-49172-57-53-49159-49161-49169-49171-51-50-5-4-47-10,0-65281-10-11-35-13172-16-30032-5-13-18-35655,23-24-25,0"
Chrome 33.0.1750.154,af0ae1083ab10ac957e394c2e7ec4634,"769,49195-49199-158-52244-52243-156-49162-49172-57-53-49159-49161-49169-49171-51-50-5-4-47-10,0-65281-10-11-35-13172-16-30032-5-13-18,23-24-25,0"
Chrome 34.0.1847.116 & 35.0.1916.114 Safari/537.36,ef3364da4d76c98a669cb828f2e5283a,"769,49195-49199-158-52244-52243-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4,0-65281-10-11-35-13172-16-5-13-18-35655,23-24-25,0"
Chrome 34.0.1847.116 & 35.0.1916.114 Safari/537.36,4807d61f519249470ebed0b633e707cf,"769,49195-49199-158-52244-52243-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4,0-65281-10-11-35-13172-16-30032-5-13-18,23-24-25,0"
Chrome 36.0.1985.125 & 37.0.2062.102 Safari/537.36,5b348680dec77f585cfe82513213ac3a,"769,49195-49199-158-52244-52243-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4,0-65281-10-11-35-13172-16-5-18-13-21,23-24-25,0"
Chrome 36.0.1985.125 - 40.0.2214.93 Safari/537.36,52be6e88840d2211a243d9356550c4a5,"769,49195-49199-158-52244-52243-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4,0-65281-10-11-35-13172-16-30032-5-18-13,23-24-25,0"
Chrome 37.0.0.0 Safari & Mobile Safari/537.36,5f775bbfc50459e900d464ca1cecd136,"769,52244-52243-52245-49172-49162-57-56-53-49170-49160-22-19-10-49199-49195-49171-49161-162-158-51-50-156-47-49169-49159-5-4-255,0-35-13-13172-11-10,25-24-23,0"
Chrome 37.0.0.0,a167568462b993d5787488ece82a439a,"769,52244-52243-52245-49172-49162-57-56-53-49170-49160-22-19-10-49199-49195-49171-49161-162-158-51-50-156-47-49169-49159-5-4-255,0-35-13-13172-11-10-21,25-24-23,0"
Chrome 37.0.2062.120,98652faa7e0a4d85f91e37aa6b8c0135,"769,49162-49161-49171-49172-49159-49169-51-50-57-47-53-10-5-4,0-65281-10-11-35-13172-16-30032-5-18,23-24-25,0"
Chrome 41.0.2272.89,8b8322bad90e8bfbd66e664839b7a037,"769,49195-49199-158-52244-52243-52245-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255,0-23-35-13-5-13172-18-16-30032-11-10,23-24-25,0"
Chrome 42.0.2311.135,aa9074aa1ff31c65d01c35b9764762b6,"769,49195-49199-158-52244-52243-52245-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255,0-23-35-13-5-13172-18-16-30032-11-10-21,23-24,0"
Chrome 42.0.2311.135,de0963bc1f3a0f70096232b272774025,"769,49195-49199-158-52244-52243-52245-49162-49172-57-49161-49171-51-49159-49169-156-53-47-5-4-10-255,0-23-35-13-5-13172-18-16-30032-11-10,23-24,0"
Chrome 43.0.2357.132 & 45.02454.94,3bb36ec17fef5d3da04ceeb6287314c6,"769,52244-52243-52245-49195-49199-158-49162-49172-57-49161-49171-51-156-53-47-10-255,0-23-35-13-5-13172-18-16-30032-11-10,23-24,0"
Chrome 48.0.2564.116,cd3f72760dfd5575b91213a8016c596b,"769,49195-49199-52244-52243-49162-49172-49161-49171-156-53-47-10,65281-0-23-35-13-5-13172-18-16-30032-11-10,23-24,0"
Chrome 48.0.2564.97,5406c4a87aa6cbcb7fc469fee526a206,"769,52244-52243-49195-49199-158-49162-49172-57-49161-49171-51-156-53-47-10,65281-0-23-35-13-5-13172-18-16-30032-11-10,23-24,0"
Chrome 49.0.2623.75,503fe06db7ef09b2cbd771c4e784c686,"769,49195-49199-52393-52392-52244-52243-49162-49172-49161-49171-156-53-47-10,65281-0-23-35-13-5-13172-18-16-30032-11-10,23-24,0"
Chrome 50.0.2661.102 1,bd4267e1672f9df843ada7c963490a0d,"769,255-49196-49195-49188-49187-49162-49161-49160-49200-49199-49192-49191-49172-49171-49170-157-156-61-60-53-47-10,0-10-11-13-5-18,23-24-25,0"
Chrome 50.0.2661.102 2,caeb3b546fc7469776d51f1f54a792ca,"769,49195-49199-52393-52392-52244-52243-49162-49172-49161-49171-156-53-47-10,65281-0-23-35-13-5-13172-18-16-11-10,29-23-24,0"
Chrome 51.0.2704.106 (test),aa84deda2a937ad225ef94161887b0cb,"769,49200-49196-49192-49188-49172-49162-165-163-161-159-107-106-105-104-57-56-55-54-136-135-134-133-49202-49198-49194-49190-49167-49157-157-61-53-132-49199-49195-49191-49187-49171-49161-164-162-160-158-103-64-63-62-51-50-49-48-69-68-67-66-49201-49197-49193-49189-49166-49156-156-60-47-65-49170-49160-22-19-16-13-49165-49155-10-255,11-10-35-13-15,23-25-28-27-24-26-22-14-13-11-12-9-10,0-1-2"
Chrome 51.0.2704.84 1,473e8bad0e8e1572197be80faa1795c3,"769,49195-49199-52393-52392-52244-52243-49162-49172-49161-49171-156-53-47-10,65281-0-23-35-13-5-13172-18-16-30032-11-10,29-23-24,0"
Chrome 51.0.2704.84 2,e0b0e6c934c686fd18a5727648b3ed4f,"769,49195-49199-49196-49200-52393-52392-52244-52243-49161-49171-49162-49172-156-157-47-53-10,65281-0-23-35-13-5-18-16-30032-11-10,29-23-24,0"
Chrome 51.0.2704.84 3,7ddfe8d6f8b51a90d10ab3fe2587c581,"769,49195-49199-49196-49200-52393-52392-52244-52243-49161-49171-49162-49172-156-157-47-53-10,65281-0-23-35-13-5-18-16-11-10,29-23-24,0"
Chrome 51.0.2704.84 4,bc76a4185cc9bd4c72471620e552618c,"769,49195-49199-49196-49200-52393-52392-52244-52243-49161-49171-49162-49172-156-157-47-53-10,65281-0-23-35-13-5-18-30032-11-10,29-23-24,0"
